competition_id,competition_name,season_id,season_name,player_id,player_name,team_id,team_name,games_played,total_drives,direct_drives_count,blowby_count,dribble_through_count,end_type_kickout_count,end_type_turnover_count,end_type_pullout_count,end_type_pullup_count,end_type_interior_pass_count,end_type_stoppage_count,end_type_shot_near_basket_count,zone_mid_range_count,zone_corner_3_count,zone_above_break_3_count,direction_left_count,direction_right_count,category_iso_count,category_off_ball_screen_count,category_pick_count,category_handoff_count,category_closeout_count,category_miscellaneous_count,points,made_baskets,assists,potential_assists,fouls,successful_drives,unsuccessful_drives,field_points_in_drive,fga_in_drive,ft_attempts_in_drive,ft_mades_in_drive,blowby_rate,dribble_through_rate,end_type_kickout_rate,end_type_turnover_rate,end_type_pullout_rate,end_type_pullup_rate,end_type_interior_pass_rate,end_type_stoppage_rate,end_type_shot_near_basket_rate,zone_mid_range_rate,zone_corner_3_rate,zone_above_break_3_rate,direction_left_rate,direction_right_rate,category_iso_rate,category_off_ball_screen_rate,category_pick_rate,category_handoff_rate,category_closeout_rate,category_miscellaneous_rate,points_per_drive,made_baskets_rate,assists_rate,potential_assists_rate,fouls_rate,successful_drives_rate,unsuccessful_drives_rate,points_per_shot_in_drive,possessions_played
8,Liga ACB,51,2025-2026,15780,Erik Stevenson,1331,Casademont Zaragoza,8,17,12,5,0,8,0,0,5,1,1,2,3,0,12,7,10,1,1,5,2,5,3,9,2,1,1,2,8,6,4,7,1,1,0.29411764705882354,0.0,0.47058823529411764,0.0,0.0,0.29411764705882354,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.0,0.7058823529411765,0.4117647058823529,0.5882352941176471,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.11764705882352941,0.29411764705882354,0.17647058823529413,0.5294117647058824,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.47058823529411764,0.35294117647058826,0.6720430107526881,231
8,Liga ACB,51,2025-2026,15805,Javan Johnson,1319,Coviran Granada,6,8,6,1,0,2,0,1,3,0,0,2,1,2,5,7,1,1,0,1,1,5,0,5,1,1,0,0,3,5,2,5,0,0,0.125,0.0,0.25,0.0,0.125,0.375,0.0,0.0,0.25,0.125,0.25,0.625,0.875,0.125,0.125,0.0,0.125,0.125,0.625,0.0,0.625,0.125,0.125,0.0,0.0,0.375,0.625,0.4,174
8,Liga ACB,51,2025-2026,18363,Jermaine Samuels,1316,San Pablo Burgos,33,128,109,10,2,15,9,4,12,6,5,77,52,7,64,63,65,7,8,2,3,53,55,102,46,4,1,23,66,48,92,78,32,24,0.078125,0.015625,0.1171875,0.0703125,0.03125,0.09375,0.046875,0.0390625,0.6015625,0.40625,0.0546875,0.5,0.4921875,0.5078125,0.0546875,0.0625,0.015625,0.0234375,0.4140625,0.4296875,0.796875,0.359375,0.03125,0.0078125,0.1796875,0.515625,0.375,1.259774109470026,1408
8,Liga ACB,51,2025-2026,18503,Grant Golden,1330,BAXI Manresa,15,12,9,3,0,4,1,1,0,0,1,5,5,0,6,3,9,4,0,0,2,0,6,11,4,1,0,1,7,4,8,5,1,1,0.25,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.4166666666666667,0.4166666666666667,0.0,0.5,0.25,0.75,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.5,0.9166666666666666,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.5833333333333334,0.3333333333333333,1.6544117647058822,479
8,Liga ACB,51,2025-2026,18522,Myles Cale,1340,BC Barcelona,27,48,41,8,0,13,1,1,6,3,1,23,7,4,26,23,25,5,2,19,1,17,4,34,13,3,3,8,28,14,26,24,13,10,0.16666666666666666,0.0,0.2708333333333333,0.020833333333333332,0.020833333333333332,0.125,0.0625,0.020833333333333332,0.4791666666666667,0.14583333333333334,0.08333333333333333,0.5416666666666666,0.4791666666666667,0.5208333333333334,0.10416666666666667,0.041666666666666664,0.3958333333333333,0.020833333333333332,0.3541666666666667,0.08333333333333333,0.7083333333333334,0.2708333333333333,0.0625,0.0625,0.16666666666666666,0.5833333333333334,0.2916666666666667,1.2113055181695829,993
8,Liga ACB,51,2025-2026,18534,Alfonso Plummer,1330,BAXI Manresa,6,13,11,1,0,1,0,0,1,1,0,10,1,0,12,7,6,2,2,1,1,4,3,4,2,0,0,2,3,8,4,10,3,3,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.7692307692307693,0.07692307692307693,0.0,0.9230769230769231,0.5384615384615384,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.0,0.0,0.15384615384615385,0.23076923076923078,0.6153846153846154,0.6183745583038869,204
8,Liga ACB,51,2025-2026,18544,Jaden Shackelford,1316,San Pablo Burgos,6,23,18,5,0,6,1,0,2,3,0,11,2,1,10,10,13,2,2,12,2,3,2,10,3,2,0,3,10,9,6,11,5,4,0.21739130434782608,0.0,0.2608695652173913,0.043478260869565216,0.0,0.08695652173913043,0.13043478260869565,0.0,0.4782608695652174,0.08695652173913043,0.043478260869565216,0.43478260869565216,0.43478260869565216,0.5652173913043478,0.08695652173913043,0.08695652173913043,0.5217391304347826,0.08695652173913043,0.13043478260869565,0.08695652173913043,0.43478260869565216,0.13043478260869565,0.08695652173913043,0.0,0.13043478260869565,0.43478260869565216,0.391304347826087,0.7575757575757576,160
8,Liga ACB,51,2025-2026,18771,James Karnik,1315,Basquet Girona,6,4,0,1,0,2,0,0,0,0,1,1,1,0,3,1,3,1,0,0,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.75,0.25,0.75,0.25,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.5,0.0,,160
8,Liga ACB,51,2025-2026,18791,Eli Brooks,1330,BAXI Manresa,17,116,83,18,1,41,2,1,10,10,4,48,12,1,91,70,46,10,1,70,12,11,12,78,24,9,3,8,54,34,48,53,11,9,0.15517241379310345,0.008620689655172414,0.35344827586206895,0.017241379310344827,0.008620689655172414,0.08620689655172414,0.08620689655172414,0.034482758620689655,0.41379310344827586,0.10344827586206896,0.008620689655172414,0.7844827586206896,0.603448275862069,0.39655172413793105,0.08620689655172414,0.008620689655172414,0.603448275862069,0.10344827586206896,0.09482758620689655,0.10344827586206896,0.6724137931034483,0.20689655172413793,0.07758620689655173,0.02586206896551724,0.06896551724137931,0.46551724137931033,0.29310344827586204,0.9854771784232365,696
8,Liga ACB,51,2025-2026,19069,Nikola Maric,1315,Basquet Girona,30,9,9,2,0,0,0,0,0,1,0,8,5,0,4,7,2,3,0,0,1,1,4,8,4,0,0,2,5,3,8,7,3,2,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.5555555555555556,0.0,0.4444444444444444,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.8888888888888888,0.4444444444444444,0.0,0.0,0.2222222222222222,0.5555555555555556,0.3333333333333333,1.2019230769230769,716
